,match_api_id,HOME_DRAW_RATE,HOME_DRAW_RATE_THIS_SEASON,AWAY_DRAW_RATE,AWAY_DRAW_RATE_THIS_SEASON,AWAY_DRAW_RATE_AT_THIS_GROUND
1392,489296,0.6,0.6,0.181818181818,0.181818181818,
21020,1471955,0.166666666667,0.0714285714286,0.159090909091,0.0588235294118,0.2
10009,705240,0.242424242424,0.294117647059,0.222222222222,0.294117647059,0.0
21113,1775100,0.3,0.333333333333,0.263157894737,0.4,0.0
4802,654761,0.285714285714,0.166666666667,0.241379310345,0.111111111111,
6083,1468401,0.333333333333,0.25,0.278350515464,0.111111111111,0.0
10054,704473,1.0,1.0,0.190476190476,0.5,
10574,1083389,0.255813953488,0.444444444444,0.191489361702,0.2,1.0
2207,840196,0.259259259259,0.235294117647,0.285714285714,0.235294117647,0.0
726,1224019,0.333333333333,0.5,0.225,0.5,0.0
