,match_api_id,num_top_players_home,num_top_players_away,num_bottom_players_home,num_bottom_players_away
1908,489293,8,1,0,0
23752,1505857,0,9,0,0
18762,1256751,0,0,0,0
21413,1991009,0,0,0,0
19405,2015899,0,0,0,0
22297,875676,0,3,0,0
10705,704608,0,0,0,0
4070,1724124,4,0,0,0
22307,875687,4,0,0,0
20276,840398,0,0,0,0
21860,530136,0,1,0,0
2828,839864,7,0,0,0
5131,483202,0,2,0,0
15459,1983388,0,0,0,0
4765,1988797,5,6,0,0
22049,684945,9,4,0,0
3719,1474600,0,0,0,0
17236,1722232,0,0,0,0
12652,1786219,3,0,0,0
12932,2060493,2,4,0,0
23157,1259968,1,0,0,0
10135,2002341,1,1,0,0
3717,1474585,0,0,0,0
13760,662491,0,0,0,0
3789,1474947,0,0,0,0
4391,1987035,6,0,0,0
12983,2060605,0,3,0,0
10506,539869,3,3,0,0
14875,1473167,0,0,0,0
10104,2002310,6,4,0,0
23071,1260200,0,2,0,0
11072,888296,0,0,0,0
11455,1083222,7,4,0,0
12009,1287282,5,7,0,0
16964,1467935,0,0,0,0
10098,2002304,1,5,0,0
14277,1028648,0,0,0,0
22840,1051892,0,2,0,0
12526,1786065,0,5,0,0
1690,1979866,0,0,0,0
1981,489356,6,3,0,0
20752,1230401,0,0,0,0
2670,840107,6,3,0,0
8699,856928,2,3,0,0
22765,1051827,3,0,0,0
10765,704742,0,1,0,0
23636,1506101,0,4,0,0
4847,483288,0,5,0,0
17582,1994636,0,0,0,0
770,1032770,0,0,0,0
22968,1052010,0,0,0,0
5928,1019521,0,1,0,0
3776,1474932,0,6,0,0
7033,1468234,4,0,0,0
12368,1536814,4,2,0,0
20024,659004,0,0,0,0
24472,2030513,0,3,0,0
5648,830136,0,1,0,0
5787,830450,0,0,0,0
9263,1239753,0,0,0,0
25460,1471700,0,0,1,0
22348,875742,1,0,0,0
11783,1287076,0,1,0,0
23235,1260144,0,10,0,0
9549,1479262,0,2,0,0
6482,1217075,4,0,0,0
14124,836690,1,0,0,0
20700,1230178,0,0,0,0
13024,2060297,2,0,0,0
23287,1260149,0,2,0,0
22294,875672,0,0,0,0
4780,483221,1,0,0,0
9858,1732989,0,5,0,0
22799,1051851,0,2,0,0
2806,840233,0,8,0,0
21258,1726042,0,0,0,0
24767,663739,0,0,0,0
13080,2060401,5,0,0,0
17004,1467998,0,0,0,0
8346,674561,0,7,0,0
21966,684808,0,0,0,0
3449,1229396,9,0,0,0
4465,1988867,0,0,0,0
6234,1019395,1,0,0,0
6419,1217012,1,0,0,0
14870,1473162,0,0,0,0
21565,530331,2,6,0,0
6926,1468518,0,0,0,0
5776,830399,0,0,0,0
6019,1019347,0,0,0,0
15617,1983294,0,0,0,0
19551,2016036,0,0,0,0
13973,836488,0,0,0,0
25016,954510,0,0,0,0
24978,954472,0,0,0,0
3174,1026135,8,1,0,0
12347,1536803,1,0,0,0
15571,1983491,1,0,0,0
16974,1467975,0,0,0,0
18894,1498128,0,0,0,0
9337,1239547,0,2,0,0
23179,1260015,1,0,0,0
25084,845056,0,0,0,1
7700,1990062,0,0,0,0
22517,875946,0,2,0,0
5219,654186,5,1,0,0
6269,1019459,0,0,0,0
21008,1686216,0,0,1,0
14781,1222775,0,0,0,0
17633,1994679,0,0,0,0
6373,1216976,3,0,0,0
18330,859686,1,0,0,0
14639,1223170,1,0,0,0
6790,1468389,0,0,0,0
7668,1990030,0,0,0,0
2177,658818,7,0,0,0
10237,2002154,0,9,0,0
25723,1775135,0,0,0,0
6649,1216882,0,2,0,0
21673,530489,1,5,0,0
23054,1260147,11,0,0,0
4518,1988910,0,1,0,0
1000,1223982,0,0,0,0
13768,662499,0,0,0,0
6131,1019361,0,4,0,0
14689,1223270,0,0,0,0
23517,1505992,0,0,0,0
10170,2002428,0,6,0,0
9241,1239731,0,2,0,0
20232,840354,0,0,1,0
12573,1786112,0,0,0,0
7080,1709809,4,2,0,0
9280,1239770,9,0,0,0
13789,662511,0,0,0,0
4275,1724309,6,1,0,0
2261,658959,0,2,0,0
8502,857101,4,0,0,0
2560,839966,1,0,0,0
17103,1467708,0,0,0,0
9910,1732753,0,0,0,0
20484,1024599,0,0,0,0
1041,1224092,0,0,0,0
6007,1019720,3,4,0,0
7753,1989813,3,10,0,0
15036,1473310,0,0,0,0
3053,1025582,0,7,0,0
4815,483256,1,0,0,0
15300,1712648,0,0,0,0
5542,829968,1,0,0,0
23037,1259321,0,1,0,0
5417,654715,0,0,0,0
24273,2030259,0,4,0,0
4093,1724147,0,0,0,0
6248,1019419,0,0,0,0
13595,662335,0,0,0,0
14856,1473148,0,0,0,0
10527,539890,3,0,0,0
21852,530128,2,8,0,0
24161,1778108,0,2,0,0
12146,1536612,6,4,0,0
19103,1748811,0,0,0,0
7260,1709979,3,0,0,0
9329,1239539,9,1,0,0
15551,1983471,0,0,0,0
7740,1990102,2,2,0,0
2453,658628,0,2,0,0
11210,888424,0,0,0,0
3181,1026180,0,1,0,0
2926,1024913,0,9,0,0
3993,1474262,7,0,0,0
13127,2060478,8,1,0,0
3338,1229284,7,0,0,0
5088,483159,0,2,1,0
10107,2002313,0,2,0,0
15259,1712607,0,0,0,0
8841,1030229,0,1,0,0
14087,836113,0,0,0,0
12973,2060584,0,8,0,0
809,1032809,0,0,0,0
2539,839945,8,6,0,0
21385,1990981,0,0,0,0
15161,1712518,0,0,0,0
20706,1230215,0,0,0,0
12871,1786040,0,7,0,0
8959,1030405,0,0,0,0
12434,1536880,0,0,0,0
11935,1287218,0,0,0,0
13708,662439,0,0,0,0
11165,888379,0,0,0,0
25616,1471680,0,0,0,1
9836,1732976,0,0,0,0
8025,499588,2,0,0,0
11566,1083392,8,9,0,0
23327,1260240,0,5,0,0
25488,1471733,0,0,1,0
2593,839999,0,0,0,0
10999,704514,7,5,0,0
22629,875602,0,4,0,0
17141,1467879,0,0,0,0
10045,2002260,0,0,0,0
